Timestamp,Category,Activity,Keystrokes,Gaze,Emotion,Eyes
153639515,Work,Google Chrome :: https://developer.spotify.com/documentation/web-api/reference/player/get-the-users-currently-playing-track,9,2,6,True
153639516,Work,Google Chrome :: https://developer.spotify.com/documentation/web-api/reference/player/get-the-users-currently-playing-track,5,1,6,True
153639517,Work,Google Chrome :: https://developer.spotify.com/documentation/web-api/reference/player/get-the-users-currently-playing-track,0,0,6,True
153639518,Work,Google Chrome :: https://www.google.com.sg/search?rlz=1C5CHFA_enSG730SG730&ei=3YSTW8eAHYzjvgTSgpeAAw&q=spotify+api+get+track+genre&oq=get+track+genre&gs_l=psy-ab.3.1.0i22i30k1l2.717744.721003.0.723325.15.15.0.0.0.0.77.870.15.15.0....0...1c.1.64.psy-ab..0.15.859...0j35i39k1j0i67k1j0i131k1j0i20i263k1j0i10k1j0i22i10i30k1.0.tlEwS8TVFW,17,0,6,True
153639519,Work,Google Chrome :: https://developer.spotify.com/console/get-available-genre-seeds,0,2,6,True
153639520,Work,Google Chrome :: https://developer.spotify.com/console/get-available-genre-seeds,0,2,6,True
153639521,Work,Google Chrome :: https://developer.spotify.com/console/tracks,0,2,0,False
153639522,Work,Google Chrome :: https://developer.spotify.com/console/tracks,0,2,6,True
153639523,Work,Google Chrome :: https://developer.spotify.com/console/get-track,0,2,6,True
153639524,Work,Google Chrome :: https://developer.spotify.com/console/get-users-currently-playing-track,10,2,6,True
153639525,Work,Google Chrome :: https://developer.spotify.com/console/get-users-currently-playing-track,1,2,6,True
153639526,Work,Google Chrome :: https://developer.spotify.com/console/get-users-currently-playing-track,0,2,6,False
153639526,Work,Google Chrome :: https://developer.spotify.com/console/get-track,2,0,6,True
153639527,Work,Google Chrome :: https://developer.spotify.com/console/get-track,0,0,6,True
153639528,Work,Google Chrome :: https://developer.spotify.com/console/get-users-currently-playing-track,0,2,3,True
153639529,Work,Google Chrome :: https://developer.spotify.com/console/get-users-currently-playing-track,0,2,6,True
153639530,Work,Google Chrome :: https://developer.spotify.com/console/get-users-currently-playing-track,1,2,6,True
153639531,Work,Google Chrome :: https://developer.spotify.com/console/get-track,1,0,6,True
153639532,Work,Google Chrome :: https://developer.spotify.com/documentation/web-api/reference/player/get-the-users-currently-playing-track,0,2,6,True
153639533,Work,Google Chrome :: https://developer.spotify.com/console/get-users-currently-playing-track,7,1,6,True
153639534,Work,Google Chrome :: https://developer.spotify.com/console/get-users-currently-playing-track,1,2,2,True
153639535,Work,Google Chrome :: https://developer.spotify.com/console/get-users-currently-playing-track,1,1,6,True
153639536,Work,Google Chrome :: https://developer.spotify.com/console/get-track,2,2,6,True
153639536,Work,Google Chrome :: https://developer.spotify.com/console/get-track,13,0,6,True
153639537,Work,Google Chrome :: https://developer.spotify.com/console/get-track,0,2,6,True
153639538,Work,Google Chrome :: https://developer.spotify.com/console/get-track,0,2,6,True
153639539,Entertainment,Spotify,0,2,6,True
153639540,Work,Google Chrome :: https://developer.spotify.com/console/get-users-currently-playing-track,0,1,6,True
153639541,Work,Google Chrome :: https://developer.spotify.com/console/get-users-currently-playing-track,0,2,6,True
153639542,Work,Google Chrome :: https://developer.spotify.com/console/get-users-currently-playing-track,6,0,6,True
153639543,Work,Google Chrome :: https://developer.spotify.com/console/get-track,2,0,6,True
153639544,Work,Google Chrome :: https://developer.spotify.com/console/get-track,0,1,6,False
153639545,Work,Google Chrome :: https://developer.spotify.com/console/get-track,0,2,6,True
153639546,Miscellaneous,Google Chrome :: http://localhost:8124,0,1,0,True
153639547,Work,Google Chrome :: https://developer.spotify.com/documentation/web-api/reference/player/get-the-users-currently-playing-track,0,2,6,True
153639547,Work,Google Chrome :: https://developer.spotify.com/documentation/web-api/reference/player/get-the-users-currently-playing-track,18,2,6,True
153639548,Miscellaneous,Google Chrome :: https://www.google.com.sg/search?q=spotify+get+track+genre&rlz=1C5CHFA_enSG730SG730&oq=get+track+genre&aqs=chrome.1.69i57j0l2j69i64.5987j0j4&sourceid=chrome&ie=UTF-,2,2,6,True
153639549,Miscellaneous,Google Chrome :: https://community.spotify.com/t5/Music-Chat/How-do-I-check-the-genre-of-a-song/td-p/152105,0,2,6,True
153639550,Miscellaneous,Google Chrome :: https://community.spotify.com/t5/Music-Chat/How-do-I-check-the-genre-of-a-song/td-p/152105,0,1,6,True
153639551,Miscellaneous,Google Chrome :: https://community.spotify.com/t5/Music-Chat/How-do-I-check-the-genre-of-a-song/td-p/152105,0,0,6,False
153639552,Miscellaneous,Google Chrome :: https://community.spotify.com/t5/Music-Chat/How-do-I-check-the-genre-of-a-song/td-p/152105,0,2,0,True
153639553,Miscellaneous,Google Chrome :: https://community.spotify.com/t5/Music-Chat/How-do-I-check-the-genre-of-a-song/td-p/152105,0,2,6,True
153639554,Miscellaneous,Google Chrome :: https://community.spotify.com/t5/Music-Chat/How-do-I-check-the-genre-of-a-song/td-p/152105,0,1,6,False
153639555,Miscellaneous,Google Chrome :: https://community.spotify.com/t5/Music-Chat/How-do-I-check-the-genre-of-a-song/td-p/152105,0,2,6,True
153639556,Entertainment,Spotify,0,2,6,True
153639557,Entertainment,Spotify,0,2,6,True
153639558,Entertainment,Spotify,0,2,6,True
153639558,Miscellaneous,Google Chrome :: https://community.spotify.com/t5/Music-Chat/How-do-I-check-the-genre-of-a-song/td-p/152105,0,2,6,True
153639559,Miscellaneous,Google Chrome :: https://community.spotify.com/t5/Music-Chat/How-do-I-check-the-genre-of-a-song/td-p/152105,0,0,2,False
153639560,Miscellaneous,Google Chrome :: https://community.spotify.com/t5/Music-Chat/How-do-I-check-the-genre-of-a-song/td-p/152105,0,2,6,True
153639561,Miscellaneous,Google Chrome :: https://community.spotify.com/t5/Music-Chat/How-do-I-check-the-genre-of-a-song/td-p/152105,0,2,6,False
